070-160M-SPRINT|PODXS Great Pumpkin Sprint
070-3-DAY|PODXS Three Day Weekend
070-31-FLAVORS|PODXS 31 Flavors
070-40M-SPRINT|PODXS 40m Firecracker Sprint
070-80M-SPRINT|PODXS 80m Jay Hudak Memorial Sprint
070-PSKFEST|PODXS PSKFest
070-ST-PATS-DAY|PODXS St. Patricks Day
070-VALENTINE-SPRINT|PODXS Valentine Sprint
10-RTTY|Ten-Meter RTTY Contest (2011 onwards)
1010-OPEN-SEASON|Open Season Ten Meter QSO Party
7QP|7th-Area QSO Party
AL-QSO-PARTY|Alabama QSO Party
ALL-ASIAN-DX-CW|JARL All Asian DX Contest (CW)
ALL-ASIAN-DX-PHONE|JARL All Asian DX Contest (PHONE)
ANARTS-RTTY|ANARTS WW RTTY
ANATOLIAN-RTTY|Anatolian WW RTTY
AP-SPRINT|Asia - Pacific Sprint
AR-QSO-PARTY|Arkansas QSO Party
ARI-DX|ARI DX Contest
ARRL-10|ARRL 10 Meter Contest
ARRL-160|ARRL 160 Meter Contest
ARRL-222|ARRL 222 MHz and Up Distance Contest
ARRL-DX-CW|ARRL International DX Contest (CW)
ARRL-DX-SSB|ARRL International DX Contest (Phone)
ARRL-EME|ARRL EME contest
ARRL-FIELD-DAY|ARRL Field Day
ARRL-RR-CW|ARRL Rookie Roundup (CW)
ARRL-RR-RTTY|ARRL Rookie Roundup (RTTY)
ARRL-RR-SSB|ARRL Rookie Roundup (Phone)
ARRL-RTTY|ARRL RTTY Round-Up
ARRL-SCR|ARRL School Club Roundup
ARRL-SS-CW|ARRL November Sweepstakes (CW)
ARRL-SS-SSB|ARRL November Sweepstakes (Phone)
ARRL-UHF-AUG|ARRL August UHF Contest
ARRL-VHF-JAN|ARRL January VHF Sweepstakes
ARRL-VHF-JUN|ARRL June VHF QSO Party
ARRL-VHF-SEP|ARRL September VHF QSO Party
AZ-QSO-PARTY|Arizona QSO Party
BARTG-RTTY|BARTG Spring RTTY Contest
BARTG-SPRINT|BARTG Sprint Contest
BC-QSO-PARTY|British Columbia QSO Party
CA-QSO-PARTY|California QSO Party
CIS-DX|CIS DX Contest
