1A|Sovereign Military Order of Malta|EU|-1|41.9055N|12.4808E|28|15|246||
1S|Spratly Islands|AS|-8|7.3734N|113.8223E|50|26|247||
3A|Monaco|EU|-1|43.75N|7.43E|27|14|260||
3B6|Agalega & Saint Brandon Is.|AF|-4|10.3873S|56.6160E|53|39|4||
3B8|Mauritius|AF|-4|20.1649S|57.4968E|53|39|165||
3B9|Rodrigues Island|AF|-4|19.6824S|63.4176E|53|39|207||
3C|Equatorial Guinea|AF|-1|3.77N|8.79E|47|36|49||
3C0|Pagalu (Annobon) Island|AF|-1|1.4186S|5.6143E|52|36|195||
3D2|Fiji|OC|-12|18.1163S|178.4243E|56|32|176||
3D2(C)|Conway Reef (Ceva-I-Ra)|OC|-12|21.7389S|174.6397E|56|32|489||1989/01/01-
3D2(R)|Rotuma Island|OC|-12|12.4993S|177.0474E|56|32|460||1989/01/01-
3DA|The Kingdom of eSwatini (Swaziland)|AF|-2|26.32S|31.14E|57|38|468||
3V|Tunisia|AF|-1|36.85N|10.16E|37|33|474||
3W|Viet Nam|AS|-7|21.04N|105.82E|49|26|293||
3X|Guinea|AF|0|9.54N|13.67W|46|35|107||
3Y(B)|Bouvet Island|AN|-1|54.4333S|3.38E|67|38|24||
3Y(P)|Peter I. Island|AN|4|68.812S|90.727W|72|12|199||
4J|Azerbaijan|AS|-4|40N|50E|29|21|18||
4L|Georgia|AS|-4|41.72N|44.79E|29|21|75||
4O|Montenegro|EU|-1|42.26N|19.2E|28|15|514||2006/06/28-
4S|Sri Lanka (Ceylon)|AS|-5.5|6.91N|79.91E|41|22|315||
4U(I)|ITU HQ Geneva|EU|-1|46.2231N|6.1183E|28|14|117||
4U(U)|UN HQ ARC New York (USA)|NA|5|40.7506N|73.9683W|08|05|289||
4W|Timor - Leste|OC|-9|8.5812S|125.5728E|54|28|511||2000/03/01-
4X|Israel|AS|-2|31.77N|35.19E|39|20|336||
5A|Libya|AF|-2|32.87N|13.18E|38|34|436||
5B|Cyprus|AS|-2|35.17N|33.38E|39|20|215||
5H|Tanzania|AF|-3|6.77S|39.25E|53|37|470||
5N|Nigeria|AF|-1|6.49N|3.37E|46|35|450||
5R|Madagascar (Malagasy Rep.)|AF|-3|18.92S|47.54E|53|39|438||
5T|Mauritania|AF|0|18.09N|15.89W|46|35|444||1960/06/20-
5U|Niger|AF|-1|13.52N|2.12E|46|35|187||1960/08/03-
5V|Togo|AF|0|6.18N|1.31E|46|35|483||
5W|Samoa|OC|-13|13.8326S|171.7507W|62|32|190||
5X|Uganda|AF|-3|0.32N|32.57E|48|37|286||
5Z|Kenya|AF|-3|1.28S|36.75E|48|37|430||
6W|Senegal|AF|0|14.69N|17.44W|46|35|456||1960/06/20-
6Y|Jamaica|NA|5|18.00N|76.81W|11|08|82||
7O|Yemen|AS|-3|15.36N|44.24E|39|21|492||1990/05/22-
7P|Lesotho|AF|-2|29.29S|27.48E|57|38|432||1981/01/01-
7Q|Malawi|AF|-2|13.99S|33.78E|53|37|440||
7X|Algeria|AF|-1|36.68N|3.15E|37|33|400||
8P|Barbados|NA|4|13.0919N|59.602411W|11|08|62||
8Q|Maldives|AS|-5|4.17N|73.50E|41|22|159||
8R|Guyana|SA|4|6.83N|58.16W|12|09|129||
9A|Croatia|EU|-1|45.80N|15.94E|28|15|497||1991/06/26-
9G|Ghana|AF|0|5.58N|0.20W|46|35|424||1957/03/05-
9H|Malta|EU|-1|35.90N|14.51E|28|15|257||
9J|Zambia|AF|-2|15.35S|28.32E|53|36|482||
9K|Kuwait|AS|-3|29.33N|47.97E|39|21|348||
9L|Sierra Leone|AF|0|8.50N|13.25W|46|35|458||
9M2|West Malaysia|AS|-8|3.53N|102.18E|54|28|299||1963/09/16-
9M6|East Malaysia|OC|-8|5.99N|116.03E|54|28|46||1963/09/16-
