ARMI
Asociazione Radioamatori Marinai Italiani
IT9MRM;001
IT9QQL;002
IT9PIY;003
IK4NYY;005
IZ7ANO;007
IK2SOE;008
IK6IJF;009
IT9WKX;010
IK1DQW;011
I8XTX;012
IK4WLG;013
IT9DTU;014
IC8GVV;015
IK0YKK;016
IZ2CDQ;017
IW8CQD;018
IC8CQF;019
I5DOF;020
IK1MVX;021
IK2PYX;022
IK8VKW;024
IW7BWW;025
IT9YMX;026
IT9WDY;027
IK8YSV;028
I7TZU;029
IV3UHX;030
I6HWD;031
IZ8AZC;032
IK6VHL;033
IZ1ELP;034
I6BQI;035
I6FDJ;036
IW2LRJ;037
IW2JQT;038
I4JCJ;039
I0DFY;040
IZ6EGW;041
IK0XFW;042
I7WYF;043
IK6IOK;044
IK1BES;045
IW3FLC;047
IK1DLW;048
IK3ZBD;049
IV3ZUY;050
IK5EED;051
IZ1CDM;052
ON4CBM;A/053
IZ0DGI;A/054
IK4PNE;A/056
IK0AGH;057
I8HXG;058
I2AZ;A/060
IT9RUT;062
IW9FQJ;A/063
KE6CVH;A/064
IK6UGD;065
IK6PUO;066
IZ8EQK;067
I7OXH;068
IW2NKY;A/069
I0AIL;A/070
IW2NXN;071
IZ4BYD;072
IZ0EGC;073
IV3AJZ;074
IZ8FCN;075
I5NQK;076
IT9EJW;077
IW2NBV;078
IW2LGL;079
IZ7EDQ;080
IT9MNW;081
DL0MF;A/082
I7HQS;083
IZ2NAB;084
IK1MAJ;085
IZ0AIO;086
IZ7HNO;087
DP1POL;A/088
IV3XYM;089
IK1NLZ;A/090
IW8EHK;091
IK0OZB;A/092
IW7CYA;093
IV3PTU;094
IS0SDX;095
IW3IE;096
IZ7AUH;097
IW3ICC;098
IK1QLD;A/100
IW9GXT;101
IK2QBA;A/102
IW8EYM;103
IK6ZTK;A/104
IZ1GTB;105
IK0JFS;106
IV3GCD;107
IT9OTF;108
SV1UG;A/109
IW9HCI;110
IK0WFZ;A/111
IZ1EGT;112
IZ1CCH;113
IZ0JSD;A/114
G.T.C.;A/115
IW1RLR;116
IK8XVA;117
IK8TEO;118
IW1RHG;120
IT9PPX;121
IV3DVE;123
IZ0FKO;A/124
ON4CBI;A/125
IW9EFS;126
IT9YDY;127
IW9BMQ;129
IT9PLM;130
IW8EYK;A/131
I8JYK;132
I6KIU;133
IW1RHR;134
IW2EJH;135
IW3HER;136
IT9HTL;137
IZ7DOG;138
IZ1FGY;139
IZ2GAL;140
IS0RYD;141
IW6CZF;142
IZ8FAV;A/143
I5PGG;144
IK8MFA;145
IK2CGH;146
IS0IGV;147
IZ7CDE;148
I4IZZ;149
I4RZJ;150
IZ8EDG;151
IT9JCF;A/152
IZ7FUL;153
I1SAF;154
IZ1FCF;A/155
IW1QQV;156
IK6IHK;157
IW5EH;A/158
IT9DFA;A/159
IZ6FHZ;160;161
IT9STX;162
IT9WMB;163
IZ6FUR;164
IW0FUT;165
IZ6FTX;166
IT9XCV;167
IV3TWP;168
IK1XHN;169
IW3IAQ;170
IZ2FRG;171
IS0MKX;172
IT9IJI;173
IK7TAM;174
IZ3HPH;176
IT9JDB;177
IZ8GCB;A/178
IK2IZY;A/180
IC8PSO;181
IZ7ETP;182
IV3JTG;183
IK7TVE;184
IZ6DWH;185
IK5DND;186
IV3HAE;187
IZ1HGP;A/188
IW9HMA;A/189
IW9HMB;A/190
IT9KPE;A/191
IW9CBN;A/192
IK0AAE;193
IW3ILA;194
IW9GSP;A/195
IW9GZI;A/196
IZ0GIF;197
I7HMP;198
EA8AJX;A/199
ON4BRN;A/200
IW3RMV;201
W1QWT;A/203
OE6NFK;A/204
IW2NZR;A/205
IZ8HNC;206
IK2WIU;A/207
IW0HPH;208
IT9RYK;209
G3LIK;A/210
KA2ZJE;A/211
IZ0DLZ;212
IK1FVO;213
ON4CKZ;A/214
IT9BQK;215
IW9HLX;A/216
IT9CFS;217
IT9YHT;218
IV3EWO;219
IW7EFC;220
IZ6BYS;221
IV3CXS;222
I7XUW;224
IZ8JPV;225
IW2OHM;226
IW0HP;227
IW9HPH;228
IT9SPA;A/229
IV3XPP;230
IZ3GVL;231
IZ0DDD;232
IK3AWP;233
IW9HRL;235
IW9FRA;236
I2FB;237
IZ0GJA;238
IZ0GPN;A/239
IW8EPX;240
IZ0GZW;241
IK0XEZ;242
IZ0GUS;243
I1MQ;A/244
IK4HAQ;245
KM1R;A/246
IV3YFX;247
IZ8BIE;A/249
IS0KEB;250
IW0BTN;A/251
IT9DCE;252;253
I0MPX;255
IW3RGT;256
IZ3CAR;257
IW9HQZ;258
I4WJO;259
IW1PDP;A/260
IZ8EZP;A/261
IK5ZOT;262
I1SCL;A/264
IZ5GTV;265
IW1RFZ;266
IZ0IJC;267
PA5UL;A/268
I1ANP;A/269
I1ZB;270
IK2WXO;271
IN3VHA;A/272
IZ5ILX;273
IZ0HSE;274
IZ0INU;A/275
I4YHH;276
IK1UVQ;277
IZ1HIE;278
IZ0KON;279
IZ5KYZ;280
IZ0FVJ;A/281
IZ1CLA;A/282
I4THX;A/283
IZ7FLL;284
I2KAJ;287
IZ1JFK;A/288
IK0TXG;290
I7UOZ;291
IZ2KPF;A/292
IZ1DXP;293
IZ8JCW;294
I7LMR;295
IK1VGK;296
I1YTO;297
IS0QCV;299
IQ9MQ;ARMI CLUB;300
I5ES;301
IK6YXM;A/302
IZ1GJK;A/303
DL6LAO;A/304
I6DAT;305
IZ3DBA;A/306
IT9YEM;307
IK7WDS;308
IZ0KNA;A/309
IZ0IWL;A/310
IT9RJQ;A/311
HB9EDG;A/313
IK1WVG;A/314
IK4NOW;315
IZ1LEB;A/316
DE3MKM;A/317
IW2CMA;318
I6DRF;319
IZ6BUV;320
IZ1LRB;321
IZ7CTE;322
IK7LQE;323
IW5DIB;324
M0HEM;A/325
YO6EX;A/326
IZ0FVD;A/327
IZ3FJJ;328
IZ1HKE;A/329
IZ1JJE;A/330
IW1QN;A/331
IW3IKR;332
IZ2ELV;A/333
IZ2EXA;A/334
IZ3LHX;335
I8URR;A/336
DL6ATM;A/337
IS0RDY;A/338
DE3EAR;A/339
IZ0IMU;A/340
IZ2BQD;A/341
IZ5IOX;342
IK5DEZ;343
IZ1MLV;344
IT9COG;A/345
IZ7MFF;347
DH2MS;A/348
IK5TBI;349
IZ0EIK;A/350
IZ5MOQ;351
IZ8IYX;352
IT9QPZ;353
IZ7LFR;354
IZ6ASI;355
IZ7FLP;356
IK1RKN;357
IW9DBE;A/358
IW9HDM;A/359
IZ8IZA;360
IZ7NDH;361
IZ6MPZ;362
IZ0MXW;363
I6PMV;364
CT1CZT;A/365
CT1EGH;A/366
IZ4AGI;A/367
IZ6FUQ;A/368
SV5DKL;A/369
HE9SOL;A/370
I2WEQ;A/371
I1UMK;372
I1NVW;A/373
IK1MDF;A/374
IW0GBU;375
IZ0INZ;376
IW0HOQ;A/377
IZ0IVZ;A/378
IS0YHV;A/379
IN3UFW;A/380
IZ1LHE;381
IZ0GXD;A/382
DL0ITU;A/383
I1QOD;384
CS5NRA;A/385
IZ0IMR;A/387
IZ5MXZ;388
F6BNM;A/389
IW9ESK;390
IK0QDI;A/392
IW8RRB;A/394
IK2UCF;396
2E0RPS;397
IZ2GIL;A/398
I2FGT;399
IY1SP;400
IW2NUY;A/401
IW7CFO;402
IZ0HPX;403
I1CMA;A/404
IZ5MMK;A/405
I7IJU;406
IK3RBT;407
IW7AUH;408
IT9DQM;A/409
IQ7TA;A/410
IK7BPV;411
IK7GIM;A/412
IK1FXX;414
IW1FGY;415
IW5EEC;A/416
R5GM;A/417
IZ0EHW;A/418
I0SNA;419
I6VDB;420
IK7MJA;421
IK6BGJ;422
DF4BV;A/424
OH1NAVY;A/425
LY2MM;A/426
IZ4GAC;A/427
SV1HEM;A/428
IZ7SGV;429
IZ7NRJ;430
IW3IBF;431
IZ6FZS;A/432
IK7ARK;433
IW7CIV;A/434
IZ7MSJ;435
IZ7NTJ;436
IS0UWS;A/438
IK1AAS;A/439
IZ7OJL;441
IS0MMM;442
IS0RVH;443
IW1PRT;A/444
IK2OFR;A/446
IZ3NVC;447
IK0UAG;448
IT9CPV;A/449
II1ICS;450
IT9HUV;451
IZ0DZM;A/452
I6CAD;453
I1DWD;454
IQ2MI;A/455
IT9IJI;456
IW6PEN;457
IT9VIH;458
IZ7NPH;459
IS0MLS;A/460
