CDXC
Clipperton DX Club
F5II;00A
F6AOI;00B
F6AQO;00C
FY5EW;00C
F6ARC;00D
F6BBJ;00E
F6BFH;00F
F9IE;00H
3A2MG;00I
F9JS;00I
F2XS;H02
F6CNZ;H02
F5KAR;H05
FF5KAR;H05
F6BTP;H07
F6DLM;H09
F1BVV;H10
F1BVX;H11
F1DOB;H12
F1EHX;H14
F1EJQ;H15
F1EPD;H16
F1EVN;H17
F1CQN;H18
F6CLB;H19
F6DEX;H20
F6FVY;H21
HB9MX;H23
F8VJ;H24
F6BKI;H25
JA1BK;H32
F2IV;H36
F9YZ;H37
PY2PE;H43
F6GAI;H44
F8QB;H45
JA0CUV/1;H46
JE1CKA;H46
F5IK;H48
F6KAW;H51
6W1DY;H53
F6EGG;H54
F5MF;H55
VK9XR;H57
F1COD;H58
VK0DJ;H59
HB9RG;H60
A51AA;H62
F8TM;H63
N7CQQ;H64
F5FLN;H64bis
IK1PML;H65
F5OLS;H66
F5ATV;H67
F5LAB;H67
F4BED;H68
CT1JEY;H69
F5IPW;H69
F5LMJ;H70
F9DK;H71
F1AVF;0001
F3AT;0004
F3DJ;0005
F6BWJ;0006
F9NZ;0007
F8TM;0009
F5VU;0010
TK5RY;0011
F8EX;0012
F3DI;0013
F5JY;0014
F6BLA;0016
F6CUK;0017
F6CXJ;0018
F2XP;0019
F5SI;0020
F6BOO;0021
F6DOH;0022
I5FLN;0023
I5TAD;0024
DJ5DA;0025
I0LLZ;0026
F6CGA;0030
F5JA;0032
G3HCT;0041
F8RU;0042
PA0FX;0043
ON4UN;0044
EA8JJ;0045
DJ5LA;0046
DL1KB;0047
F2FV;0048
F6CFE;0048
F6AXP;0049
F6BLK;0050
F9RM;0051
DL1HH;0052
F6AXY;0053
F2IU;0054
F8RV;0056
DJ2EH;0059
DL1JW;0060
DL9OH;0061
DL7HZ;0070
DL7FT;0091
F3DH;0148
F1DAK;0149
F6CVI;0150
FR5DX;0150
I6FLD;0151
I0MGM;0152
I2SM;0153
PA0TO;0154
W9LT;0155
F3FA;0156
SM3BIZ;0157
I7RNH;0158
F2VX;0159
I7DPO;0160
I7SCA;0161
I7VCA;0162
I7ODP;0163
I2YBC;0164
I2YCF;0165
I6PLN;0166
LU9DAH;0167
OE1FF;0168
HB9PL;0169
F8AQO;0170
G3ZBA;0172
G4DZI;0173
G4DXA;0174
F6ARB;0175
F6CHF;0176
F6CHU;0177
F1KLT;0178
F5QE;0179
ON6HH;0180
IT9GAI;0181
IT9JT;0182
IT9FTT;0183
OE1FT;0184
F8QQ;0185
G3KMA;0186
F9GL;0187
PY2CK;0188
DK3VV;0189
DK6OZ;0189
G3WW;0190
I1ZL;0191
F6BPC;0192
TU2GA;0193
F2NB;0195
DL7RT;0196
DJ1BV;0197
ON4PA;0198
DK5WS;0199
I8KDB;0200
GW3AX;0201
F8DVD;0202
DL1PM;0203
F6AQI;0204
F5PW;0205
HK4BNC;0208
I0IJ;0209
HB9DX;0210
F8KA;0211
F6DHB;0212
DA1XX;0213
F6GLX;0213
F8EN;0214
TR50R;0214
TR8CR;0214
ON5DO;0215
F8YO;0216
VE3II;0217
DL9VS;0218
YU2DX;0219
FY7BC;0220
F6DZU;0221
