italy-prov
Provinces of Italy
I;IS
00010;Roma (RM)
00012;Roma (RM)
00013;Roma (RM)
00015;Roma (RM)
00017;Roma (RM)
00018;Roma (RM)
00019;Roma (RM)
00020;Roma (RM)
00021;Roma (RM)
00022;Roma (RM)
00023;Roma (RM)
00024;Roma (RM)
00025;Roma (RM)
00026;Roma (RM)
00027;Roma (RM)
00028;Roma (RM)
00029;Roma (RM)
00030;Roma (RM)
00031;Roma (RM)
00032;Roma (RM)
00033;Roma (RM)
00034;Roma (RM)
00035;Roma (RM)
00036;Roma (RM)
00037;Roma (RM)
00038;Roma (RM)
00039;Roma (RM)
00040;Roma (RM)
00041;Roma (RM)
00042;Roma (RM)
00043;Roma (RM)
00044;Roma (RM)
00045;Roma (RM)
00046;Roma (RM)
00047;Roma (RM)
00048;Roma (RM)
00049;Roma (RM)
00051;Roma (RM)
00052;Roma (RM)
00053;Roma (RM)
00054;Roma (RM)
00055;Roma (RM)
00058;Roma (RM)
00059;Roma (RM)
00060;Roma (RM)
00061;Roma (RM)
00062;Roma (RM)
00063;Roma (RM)
00065;Roma (RM)
00066;Roma (RM)
00067;Roma (RM)
00068;Roma (RM)
00069;Roma (RM)
00118;Roma (RM)
00119;Roma (RM)
00120;Roma (RM)
00121;Roma (RM)
00122;Roma (RM)
00123;Roma (RM)
00124;Roma (RM)
00125;Roma (RM)
00126;Roma (RM)
00127;Roma (RM)
00128;Roma (RM)
00129;Roma (RM)
00130;Roma (RM)
00131;Roma (RM)
00132;Roma (RM)
00133;Roma (RM)
00134;Roma (RM)
00135;Roma (RM)
00136;Roma (RM)
00137;Roma (RM)
00138;Roma (RM)
00139;Roma (RM)
00140;Roma (RM)
00141;Roma (RM)
00142;Roma (RM)
00143;Roma (RM)
00144;Roma (RM)
00145;Roma (RM)
00146;Roma (RM)
00147;Roma (RM)
00148;Roma (RM)
00149;Roma (RM)
00150;Roma (RM)
00151;Roma (RM)
00152;Roma (RM)
00153;Roma (RM)
00154;Roma (RM)
00155;Roma (RM)
00156;Roma (RM)
00157;Roma (RM)
00158;Roma (RM)
00159;Roma (RM)
00160;Roma (RM)
00161;Roma (RM)
00162;Roma (RM)
00163;Roma (RM)
00164;Roma (RM)
00165;Roma (RM)
00166;Roma (RM)
00167;Roma (RM)
00168;Roma (RM)
00169;Roma (RM)
00170;Roma (RM)
00171;Roma (RM)
00172;Roma (RM)
00173;Roma (RM)
00174;Roma (RM)
00175;Roma (RM)
00176;Roma (RM)
00177;Roma (RM)
00178;Roma (RM)
00179;Roma (RM)
00180;Roma (RM)
00181;Roma (RM)
00182;Roma (RM)
00183;Roma (RM)
00184;Roma (RM)
00185;Roma (RM)
00186;Roma (RM)
00187;Roma (RM)
00188;Roma (RM)
00189;Roma (RM)
00190;Roma (RM)
00191;Roma (RM)
00192;Roma (RM)
00193;Roma (RM)
00194;Roma (RM)
00195;Roma (RM)
00196;Roma (RM)
00197;Roma (RM)
00198;Roma (RM)
00199;Roma (RM)
01010;Viterbo (VT)
01011;Viterbo (VT)
01012;Viterbo (VT)
01014;Viterbo (VT)
01015;Viterbo (VT)
01016;Viterbo (VT)
01017;Viterbo (VT)
01018;Viterbo (VT)
01019;Viterbo (VT)
01020;Viterbo (VT)
01021;Viterbo (VT)
01022;Viterbo (VT)
01023;Viterbo (VT)
01024;Viterbo (VT)
01025;Viterbo (VT)
01027;Viterbo (VT)
01028;Viterbo (VT)
01030;Viterbo (VT)
01032;Viterbo (VT)
01033;Viterbo (VT)
01034;Viterbo (VT)
01035;Viterbo (VT)
01036;Viterbo (VT)
01037;Viterbo (VT)
01038;Viterbo (VT)
01039;Viterbo (VT)
01100;Viterbo (VT)
02010;Rieti (RI)
02011;Rieti (RI)
02012;Rieti (RI)
02013;Rieti (RI)
02014;Rieti (RI)
02015;Rieti (RI)
02016;Rieti (RI)
02018;Rieti (RI)
02019;Rieti (RI)
02020;Rieti (RI)
02021;Rieti (RI)
02022;Rieti (RI)
02023;Rieti (RI)
02024;Rieti (RI)
02025;Rieti (RI)
02026;Rieti (RI)
02030;Rieti (RI)
02031;Rieti (RI)
02032;Rieti (RI)
02033;Rieti (RI)
02034;Rieti (RI)
02035;Rieti (RI)
02037;Rieti (RI)
02038;Rieti (RI)
02039;Rieti (RI)
02040;Rieti (RI)
02041;Rieti (RI)
02042;Rieti (RI)
02043;Rieti (RI)
02044;Rieti (RI)
02045;Rieti (RI)
02046;Rieti (RI)
02047;Rieti (RI)
02048;Rieti (RI)
02049;Rieti (RI)
02100;Rieti (RI)
03010;Frosinone (FR)
03011;Frosinone (FR)
03012;Frosinone (FR)
03013;Frosinone (FR)
03014;Frosinone (FR)
03016;Frosinone (FR)
03017;Frosinone (FR)
03018;Frosinone (FR)
03019;Frosinone (FR)
03020;Frosinone (FR)
03021;Frosinone (FR)
03022;Frosinone (FR)
03023;Frosinone (FR)
03024;Frosinone (FR)
03025;Frosinone (FR)
03026;Frosinone (FR)
03027;Frosinone (FR)
03028;Frosinone (FR)
03029;Frosinone (FR)
03030;Frosinone (FR)
03031;Frosinone (FR)
03032;Frosinone (FR)
03033;Frosinone (FR)
03034;Frosinone (FR)
03035;Frosinone (FR)
03036;Frosinone (FR)
03037;Frosinone (FR)
03038;Frosinone (FR)
03039;Frosinone (FR)
03040;Frosinone (FR)
03041;Frosinone (FR)
03042;Frosinone (FR)
03043;Frosinone (FR)
03044;Frosinone (FR)
03045;Frosinone (FR)
03046;Frosinone (FR)
03047;Frosinone (FR)
03048;Frosinone (FR)
03049;Frosinone (FR)
03100;Frosinone (FR)
04010;Latina (LT)
04011;Latina (LT)
