usa-ca
USA Counties
W;KH6;KL
01001;MA,Hampden;-72.620290;42.070610
01002;MA,Hampshire;-72.503237;42.377651
01003;MA,Hampshire;-72.6359;42.36956
01004;MA,Hampshire;-72.5131;42.38449
01005;MA,Worcester;-72.104432;42.412094
01007;MA,Hampshire;-72.411005;42.278424
01008;MA,Hampden;-72.948288;42.174313
01009;MA,Hampden;-72.3404;42.20609
01010;MA,Hampden;-72.205521;42.126038
01011;MA,Hampden;-73.019589;42.271442
01012;MA,Hampshire;-72.843564;42.390836
01013;MA,Hampden;-72.603165;42.161492
01014;MA,Hampden;-72.6048;42.17073
01020;MA,Hampden;-72.572655;42.175992
01021;MA,Hampden;-72.6048;42.17073
01022;MA,Hampden;-72.556060;42.196666
01026;MA,Hampshire;-72.918131;42.465041
01027;MA,Hampshire;-72.686772;42.272790
01028;MA,Hampden;-72.510205;42.066795
01029;MA,Berkshire;-73.042042;42.175896
01030;MA,Hampden;-72.672484;42.070774
01031;MA,Worcester;-72.188334;42.330710
01032;MA,Hampshire;-72.815513;42.457920
01033;MA,Hampshire;-72.518316;42.254563
01034;MA,Hampden;-72.944640;42.086224
01035;MA,Hampshire;-72.573302;42.355490
01036;MA,Hampden;-72.417355;42.064703
01037;MA,Worcester;-72.195241;42.374202
01038;MA,Hampshire;-72.608325;42.375155
01039;MA,Hampshire;-72.692596;42.381475
01040;MA,Hampden;-72.624200;42.201891
01041;MA,Hampden;-72.6048;42.17073
01050;MA,Hampshire;-72.879426;42.290209
01053;MA,Hampshire;-72.702062;42.353105
01054;MA,Franklin;-72.498797;42.479839
01056;MA,Hampden;-72.470687;42.174893
01057;MA,Hampden;-72.317005;42.089269
01059;MA,Hampshire;-72.6359;42.36956
01060;MA,Hampshire;-72.635615;42.324539
01061;MA,Hampshire;-72.6359;42.36956
01066;MA,Hampshire;-72.6339;42.40669
01068;MA,Worcester;-72.044138;42.349769
01069;MA,Hampden;-72.326468;42.176401
01070;MA,Hampshire;-72.916614;42.515853
01071;MA,Hampden;-72.851532;42.165931
01072;MA,Franklin;-72.422088;42.486027
01073;MA,Hampshire;-72.727778;42.223885
01074;MA,Worcester;-72.1493;42.37599
01075;MA,Hampshire;-72.582439;42.234891
01077;MA,Hampden;-72.769668;42.052830
01079;MA,Hampden;-72.3295;42.19289
01080;MA,Hampden;-72.365182;42.180563
01081;MA,Hampden;-72.225177;42.058024
01082;MA,Hampshire;-72.260675;42.270611
01083;MA,Worcester;-72.202592;42.204680
01084;MA,Hampshire;-72.890432;42.379807
01085;MA,Hampden;-72.750297;42.133642
01086;MA,Hampden;-72.8479;42.17342
01088;MA,Hampshire;-72.632102;42.388831
01089;MA,Hampden;-72.640665;42.112793
01090;MA,Hampden;-72.6048;42.17073
01092;MA,Worcester;-72.239040;42.210777
01093;MA,Franklin;-72.6525;42.44267
01094;MA,Worcester;-72.1408;42.35820
01095;MA,Hampden;-72.440574;42.125310
01096;MA,Hampshire;-72.782719;42.415236
01097;MA,Hampden;-72.8459;42.16174
01098;MA,Hampshire;-72.938714;42.399054
01101;MA,Hampden;-72.6048;42.17073
01102;MA,Hampden;-72.6048;42.17073
01103;MA,Hampden;-72.591121;42.103294
01104;MA,Hampden;-72.573382;42.130343
01105;MA,Hampden;-72.579806;42.096644
01106;MA,Hampden;-72.571208;42.050395
01107;MA,Hampden;-72.606103;42.120193
01108;MA,Hampden;-72.555231;42.084094
01109;MA,Hampden;-72.550315;42.116277
01111;MA,Hampden;-72.6048;42.17073
01114;MA,Hampden;-72.6048;42.17073
01115;MA,Hampden;-72.5916;42.10289
01116;MA,Hampden;-72.6048;42.17073
01118;MA,Hampden;-72.529101;42.093144
01119;MA,Hampden;-72.509328;42.128442
01128;MA,Hampden;-72.488573;42.095344
01129;MA,Hampden;-72.489602;42.121031
01133;MA,Hampden;-72.6048;42.17073
01138;MA,Hampden;-72.6048;42.17073
01139;MA,Hampden;-72.6048;42.17073
01144;MA,Hampden;-72.5915;42.10179
01151;MA,Hampden;-72.505310;42.153926
01152;MA,Hampden;-72.6048;42.17073
01201;MA,Berkshire;-73.254003;42.453840
01202;MA,Berkshire;-73.2284;42.39290
01203;MA,Berkshire;-73.2284;42.39290
01220;MA,Berkshire;-73.118427;42.619727
01222;MA,Berkshire;-73.321771;42.057496
01223;MA,Berkshire;-73.093359;42.314449
01224;MA,Berkshire;-73.2284;42.39290
01225;MA,Berkshire;-73.165306;42.551731
01226;MA,Berkshire;-73.115476;42.476575
01227;MA,Berkshire;-73.0928;42.51614
01229;MA,Berkshire;-73.3435;42.27929
01230;MA,Berkshire;-73.352493;42.189715
01235;MA,Berkshire;-73.092783;42.433661
01236;MA,Berkshire;-73.362363;42.266874
01237;MA,Berkshire;-73.243648;42.557346
01238;MA,Berkshire;-73.232707;42.299263
01240;MA,Berkshire;-73.276830;42.362370
01242;MA,Berkshire;-73.245995;42.336557
01243;MA,Hampshire;-73.0104;42.35608
01244;MA,Berkshire;-73.203123;42.139104
01245;MA,Berkshire;-73.208499;42.180659
01247;MA,Berkshire;-73.101456;42.696064
01252;MA,Berkshire;-73.4462;42.19864
01253;MA,Berkshire;-73.102052;42.198403
01254;MA,Berkshire;-73.363363;42.374711
01255;MA,Berkshire;-73.124448;42.088973
01256;MA,Berkshire;-73.011232;42.592506
01257;MA,Berkshire;-73.365918;42.102694
01258;MA,Berkshire;-73.457344;42.103122
01259;MA,Berkshire;-73.246749;42.064500
01260;MA,Berkshire;-73.3132;42.28658
01262;MA,Berkshire;-73.314232;42.283216
01264;MA,Berkshire;-73.203943;42.224905
01266;MA,Berkshire;-73.364077;42.328535
01267;MA,Berkshire;-73.223553;42.689962
01270;MA,Berkshire;-73.1161;42.44372
